Session,Outcome,Type,Case,Study
22,1,INT,DanielADV,PetersenB
23,5,INT,DanielADV,PetersenB
1,0,BL,DanielAS,PetersenB
2,0,BL,DanielAS,PetersenB
3,0,BL,DanielAS,PetersenB
4,0,BL,DanielAS,PetersenB
5,0,BL,DanielAS,PetersenB
6,0,BL,DanielAS,PetersenB
7,0,BL,DanielAS,PetersenB
8,0,BL,DanielAS,PetersenB
9,0,BL,DanielAS,PetersenB
10,0,BL,DanielAS,PetersenB
11,0,BL,DanielAS,PetersenB
12,0,BL,DanielAS,PetersenB
13,0,BL,DanielAS,PetersenB
14,0,BL,DanielAS,PetersenB
15,0,BL,DanielAS,PetersenB
16,0,BL,DanielAS,PetersenB
17,0,BL,DanielAS,PetersenB
18,0,BL,DanielAS,PetersenB
19,0,BL,DanielAS,PetersenB
20,0,BL,DanielAS,PetersenB
21,0,INT,DanielAS,PetersenB
22,0,iNT,DanielAS,PetersenB
23,0,iNT,DanielAS,PetersenB
1,1,BL,TravisCausality,PetersenB
2,0,BL,TravisCausality,PetersenB
3,0,BL,TravisCausality,PetersenB
4,1,BL,TravisCausality,PetersenB
5,0,BL,TravisCausality,PetersenB
6,2,BL,TravisCausality,PetersenB
7,1,BL,TravisCausality,PetersenB
8,0,BL,TravisCausality,PetersenB
9,0,INT,TravisCausality,PetersenB
10,3,INT,TravisCausality,PetersenB
11,3,INT,TravisCausality,PetersenB
12,4,INT,TravisCausality,PetersenB
13,3,INT,TravisCausality,PetersenB
14,3,INT,TravisCausality,PetersenB
15,3,INT,TravisCausality,PetersenB
16,4,INT,TravisCausality,PetersenB
17,3,INT,TravisCausality,PetersenB
18,3,INT,TravisCausality,PetersenB
19,3,INT,TravisCausality,PetersenB
1,0,BL,TravisADV,PetersenB
2,0,BL,TravisADV,PetersenB
3,1,BL,TravisADV,PetersenB
4,1,BL,TravisADV,PetersenB
5,0,BL,TravisADV,PetersenB
6,0,BL,TravisADV,PetersenB
7,1,BL,TravisADV,PetersenB
8,1,BL,TravisADV,PetersenB
9,0,BL,TravisADV,PetersenB
10,0,BL,TravisADV,PetersenB
11,0,BL,TravisADV,PetersenB
12,0,BL,TravisADV,PetersenB
13,6,INT,TravisADV,PetersenB
14,10,INT,TravisADV,PetersenB
15,7,INT,TravisADV,PetersenB
16,8,INT,TravisADV,PetersenB
17,0,INT,TravisADV,PetersenB
18,1,INT,TravisADV,PetersenB
19,3,INT,TravisADV,PetersenB
1,0,BL,TravisTASC,PetersenB
2,0,BL,TravisTASC,PetersenB
3,0,BL,TravisTASC,PetersenB
4,0,BL,TravisTASC,PetersenB
5,0,BL,TravisTASC,PetersenB
6,0,BL,TravisTASC,PetersenB
7,0,BL,TravisTASC,PetersenB
8,0,BL,TravisTASC,PetersenB
9,0,BL,TravisTASC,PetersenB
10,0,BL,TravisTASC,PetersenB
11,0,BL,TravisTASC,PetersenB
12,0,BL,TravisTASC,PetersenB
13,1,BL,TravisTASC,PetersenB
14,0,BL,TravisTASC,PetersenB
15,0,BL,TravisTASC,PetersenB
16,0,BL,TravisTASC,PetersenB
17,0,INT,TravisTASC,PetersenB
18,3,INT,TravisTASC,PetersenB
19,0,INT,TravisTASC,PetersenB
1,0,BL,SallyCausality,PetersenA
2,0,BL,SallyCausality,PetersenA
3,0,BL,SallyCausality,PetersenA
4,0,INT,SallyCausality,PetersenA
5,1,INT,SallyCausality,PetersenA
6,0,INT,SallyCausality,PetersenA
7,2,INT,SallyCausality,PetersenA
8,2,INT,SallyCausality,PetersenA
9,0,INT,SallyCausality,PetersenA
10,4,INT,SallyCausality,PetersenA
11,1,INT,SallyCausality,PetersenA
12,0,INT,SallyCausality,PetersenA
13,1,INT,SallyCausality,PetersenA
14,0,INT,SallyCausality,PetersenA
1,0,BL,MaryCausality,PetersenA
2,0,BL,MaryCausality,PetersenA
3,1,BL,MaryCausality,PetersenA
4,0,BL,MaryCausality,PetersenA
5,1,BL,MaryCausality,PetersenA
6,0,BL,MaryCausality,PetersenA
7,0,INT,MaryCausality,PetersenA
8,1,INT,MaryCausality,PetersenA
9,1,INT,MaryCausality,PetersenA
10,0,INT,MaryCausality,PetersenA
11,2,INT,MaryCausality,PetersenA
12,3,INT,MaryCausality,PetersenA
13,3,INT,MaryCausality,PetersenA
14,4,INT,MaryCausality,PetersenA
15,4,INT,MaryCausality,PetersenA
16,5,INT,MaryCausality,PetersenA
1,0,BL,TomCausality,PetersenA
2,1,BL,TomCausality,PetersenA
3,0,BL,TomCausality,PetersenA
4,2,BL,TomCausality,PetersenA
5,0,BL,TomCausality,PetersenA
